4.99 	21.01 	21.01
5.15 	21.59 	20.43
5.31 	21.45 	19.28
5.48 	21.74 	20.43
5.64 	21.59 	20.00
5.80 	21.45 	20.87
5.96 	20.14 	20.43
6.12 	20.58 	19.71
6.28 	20.00 	19.42
6.44 	19.71 	18.26
6.60 	20.72 	19.42
6.76 	20.43 	18.70
6.92 	19.57 	18.70
7.09 	19.57 	18.70
7.25 	18.70 	17.39
7.41 	18.12 	17.39
7.57 	18.55 	16.09
7.73 	17.97 	16.81
7.89 	19.28 	15.94
8.05 	18.26 	16.38
8.21 	17.39 	15.94
8.37 	17.68 	16.38
8.53 	17.97 	15.07
8.70 	18.70 	15.65
8.86 	18.26 	15.36
9.02 	18.41 	15.07
9.18 	17.97 	15.22
9.34 	18.12 	15.51
9.50 	18.55 	15.36
9.66 	18.12 	14.64
9.82 	17.54 	15.36
9.98 	17.97 	15.94
10.14 	18.26 	15.36
10.31 	18.26 	15.36
10.47 	17.25 	15.65
10.63 	18.99 	15.80
10.79 	17.97 	15.94
10.95 	19.42 	16.09
11.11 	17.68 	15.51
11.27 	17.68 	15.36
11.43 	19.13 	16.09
11.59 	17.39 	16.38
11.76 	17.25 	15.94
11.92 	18.26 	15.80
12.08 	19.28 	15.94
12.24 	18.26 	16.09
12.40 	17.25 	15.80
12.56 	16.96 	15.65
12.72 	17.83 	15.65
12.88 	17.83 	16.38
13.04 	17.97 	15.36
13.20 	16.81 	15.36
13.37 	16.38 	15.51
13.53 	16.96 	15.07
13.69 	16.81 	14.93
13.85 	16.96 	15.22
14.01 	16.96 	14.78
14.17 	16.96 	15.07
14.33 	17.68 	15.80
14.49 	17.54 	14.64
14.65 	17.68 	14.49
14.81 	17.97 	14.64
14.98 	17.39 	14.78
15.14 	18.26 	15.22
15.30 	17.68 	14.49
15.46 	17.54 	14.78
15.62 	18.41 	15.80
15.78 	18.55 	15.07
15.94 	18.26 	14.20
16.10 	18.12 	15.36
16.26 	17.97 	14.64
16.43 	17.39 	14.93
16.59 	16.96 	15.65
16.75 	16.81 	14.93
16.91 	17.25 	15.51
17.07 	17.97 	15.07
17.23 	16.96 	15.07
17.39 	17.25 	15.51
17.55 	17.54 	15.51
17.71 	18.55 	15.65
17.87 	17.39 	14.64
18.04 	17.10 	15.80
18.20 	17.10 	15.22
18.36 	17.10 	15.65
18.52 	16.67 	15.07
18.68 	16.23 	15.07
18.84 	16.38 	14.78
19.00 	16.38 	14.64
19.16 	16.67 	15.80
19.32 	16.52 	15.07
19.48 	16.38 	15.22
19.65 	16.96 	14.64
19.81 	15.94 	14.49
